country,year,sex,age,people
Ethiopia,1955,1,80,16.136
Ethiopia,1955,1,85,0.0
Ethiopia,1955,1,90,0.0
Ethiopia,1955,1,95,0.0
Ethiopia,1955,1,100,0.0
Ethiopia,1960,1,0,1944.192
Ethiopia,1960,1,5,1521.053
Ethiopia,1960,1,10,1367.269
Ethiopia,1960,1,15,1170.465
Ethiopia,1960,1,20,987.706
Ethiopia,1960,1,25,834.848
Ethiopia,1960,1,30,703.554
Ethiopia,1960,1,35,591.777
Ethiopia,1960,1,40,492.556
Ethiopia,1960,1,45,408.724
Ethiopia,1960,1,50,331.31
Ethiopia,1960,1,55,258.615
Ethiopia,1960,1,60,158.352
Ethiopia,1960,1,65,113.293
Ethiopia,1960,1,70,71.872
Ethiopia,1960,1,75,37.122
Ethiopia,1960,1,80,18.043
Ethiopia,1960,1,85,0.0
Ethiopia,1960,1,90,0.0
Ethiopia,1960,1,95,0.0
Ethiopia,1960,1,100,0.0
Ethiopia,1965,1,0,2264.079
Ethiopia,1965,1,5,1716.943
Ethiopia,1965,1,10,1460.458
Ethiopia,1965,1,15,1325.922
Ethiopia,1965,1,20,1123.669
Ethiopia,1965,1,25,939.672
Ethiopia,1965,1,30,792.338
Ethiopia,1965,1,35,664.341
Ethiopia,1965,1,40,553.283
Ethiopia,1965,1,45,454.273
Ethiopia,1965,1,50,370.129
Ethiopia,1965,1,55,291.827
Ethiopia,1965,1,60,217.943
Ethiopia,1965,1,65,124.226
Ethiopia,1965,1,70,78.749
Ethiopia,1965,1,75,41.215
Ethiopia,1965,1,80,20.619
Ethiopia,1965,1,85,0.0
Ethiopia,1965,1,90,0.0
Ethiopia,1965,1,95,0.0
Ethiopia,1965,1,100,0.0
Ethiopia,1970,1,0,2594.943
Ethiopia,1970,1,5,2020.98
Ethiopia,1970,1,10,1652.957
Ethiopia,1970,1,15,1418.467
Ethiopia,1970,1,20,1275.562
Ethiopia,1970,1,25,1071.963
Ethiopia,1970,1,30,894.43
Ethiopia,1970,1,35,750.67
Ethiopia,1970,1,40,623.666
Ethiopia,1970,1,45,512.85
Ethiopia,1970,1,50,413.815
Ethiopia,1970,1,55,328.411
Ethiopia,1970,1,60,248.292
Ethiopia,1970,1,65,173.211
Ethiopia,1970,1,70,88.013
Ethiopia,1970,1,75,46.485
Ethiopia,1970,1,80,24.076
Ethiopia,1970,1,85,0.0
Ethiopia,1970,1,90,0.0
Ethiopia,1970,1,95,0.0
Ethiopia,1970,1,100,0.0
Ethiopia,1975,1,0,3051.197
Ethiopia,1975,1,5,2338.522
Ethiopia,1975,1,10,1949.317
Ethiopia,1975,1,15,1607.302
Ethiopia,1975,1,20,1366.555
Ethiopia,1975,1,25,1219.212
Ethiopia,1975,1,30,1022.464
Ethiopia,1975,1,35,849.372
Ethiopia,1975,1,40,706.704
Ethiopia,1975,1,45,580.085
Ethiopia,1975,1,50,469.068
Ethiopia,1975,1,55,368.997
Ethiopia,1975,1,60,281.233
Ethiopia,1975,1,65,199.01
Ethiopia,1975,1,70,124.301
Ethiopia,1975,1,75,52.948
Ethiopia,1975,1,80,28.182
Ethiopia,1975,1,85,0.0
Ethiopia,1975,1,90,0.0
Ethiopia,1975,1,95,0.0
Ethiopia,1975,1,100,0.0
Ethiopia,1980,1,0,3376.648
Ethiopia,1980,1,5,2623.315
Ethiopia,1980,1,10,2032.684
Ethiopia,1980,1,15,1660.409
Ethiopia,1980,1,20,1386.499
